Energy(keV) Photon_Flux(ph/s/cm^2/keV)
1.29321 ########
1.64470 ########
1.99620 ########
2.34769 633242.
2.69918 509662.
3.05068 349517.
3.40217 516784.
3.75367 560282.
4.10516 452335.
4.45665 309605.
4.80815 163605.
5.15964 120278.
5.51114 74768.5
5.86263 42281.2
6.21413 35482.1
6.56562 294898.
6.91711 180697.
7.26861 43113.9
7.62010 42131.9
7.97160 36326.4
8.32309 21196.6
8.67458 11102.8
9.02608 9484.70
9.37757 7073.95
9.72907 4682.04
10.0806 3881.15
10.4321 2957.45
10.7835 2423.41
11.1350 1938.29
11.4865 1416.48
11.8380 1186.63
12.1895 912.529
12.5410 732.600
12.8925 614.649
13.2440 539.050
13.5955 403.514
13.9470 331.982
14.2985 286.987
14.6500 235.907
15.0015 180.260
15.3530 164.544
15.7045 128.588
16.0560 121.782
16.4075 98.2276
16.7589 83.6766
17.1104 74.9396
17.4619 67.4074
17.8134 63.7263
18.1649 49.5853
18.5164 45.3295
18.8679 39.9683
19.2194 35.2070
19.5709 32.0296
19.9224 32.6755
20.2739 29.1962
20.6254 24.8104
20.9769 21.1432
21.3284 21.8805
21.6799 21.7972
22.0314 18.6067
22.3829 17.8545
22.7344 16.5368
23.0858 16.2538
23.4373 14.9633
23.7888 13.3729
24.1403 13.7982
24.4918 11.9217
24.8433 10.5744
25.1948 11.9911
25.5463 11.5690
25.8978 10.6511
26.2493 9.73849
26.6008 8.81555
26.9523 9.95529
27.3038 8.11485
27.6553 9.25908
28.0068 8.17561
28.3583 7.68388
28.7098 6.72682
29.0612 7.79204
29.4127 7.12068
29.7642 6.60736
30.1157 6.25187
30.4672 6.56862
30.8187 5.92586
31.1702 5.39993
31.5217 4.77538
31.8732 5.23967
32.2247 5.97302
32.5762 5.34141
32.9277 5.02160
33.2792 4.81940
33.6307 4.81227
33.9822 4.43424
34.3337 4.44965
34.6852 4.16319
35.0366 3.89877
35.3881 3.79267
35.7396 3.51063
36.0911 4.18738
36.4426 3.44486
36.7941 3.25364
37.1456 3.06999
37.4971 3.58198
37.8486 3.11257
38.2001 2.85284
38.5516 2.83424
38.9031 2.86036
39.2546 2.97204
39.6061 3.04360
39.9576 2.40712
40.3091 1.96326
40.6606 2.59460
41.0121 2.30362
41.3635 1.95823
41.7150 2.61308
42.0665 2.16176
42.4180 2.48622
42.7695 1.75946
43.1210 1.93688
43.4725 2.45986
43.8240 1.66520
44.1755 1.77067
44.5270 1.58993
44.8785 1.53493
45.2300 1.68053
45.5815 1.45511
45.9330 1.42644
46.2845 1.22280
46.6360 1.61960
46.9874 1.45852
47.3389 1.36042
47.6904 1.15916
48.0419 1.37653
48.3934 1.39849
48.7449 1.10165
49.0964 0.881974
49.4479 1.24328
49.7994 1.32857
50.1509 0.849405
50.5024 0.859518
50.8539 0.981536
51.2054 1.32875
51.5569 1.03738
51.9084 0.931013
52.2599 0.904722
52.6114 1.10632
52.9629 0.958307
53.3143 0.812782
53.6658 0.673251
54.0173 0.915237
54.3688 0.774716
54.7203 0.957410
55.0718 0.678488
55.4233 0.607171
55.7748 0.829654
56.1263 0.526719
56.4778 0.993713
56.8293 0.579614
57.1808 0.716938
57.5323 0.784800
57.8838 0.630559
58.2353 0.813077
58.5868 0.501873
58.9383 0.872658
59.2897 0.665211
59.6412 0.705770
59.9927 0.892584
60.3442 0.712094
60.6957 0.540864
61.0472 0.768541
61.3987 0.432388
61.7502 0.696449
62.1017 0.670341
62.4532 0.385008
62.8047 0.388757
63.1562 0.624029
63.5077 0.547761
63.8592 0.627268
64.2107 0.481801
64.5622 0.436092
64.9137 0.412429
65.2652 0.380640
65.6167 0.487824
65.9681 0.511380
66.3196 0.244375
66.6711 0.242436
67.0226 0.338405
67.3741 0.402221
67.7256 0.358268
68.0771 0.544223
68.4286 0.393201
68.7801 0.429449
69.1316 0.134064
69.4831 0.341974
69.8346 0.246558
70.1861 0.184832
70.5376 0.425201
70.8891 0.274465
71.2406 0.330638
71.5920 0.330161
71.9435 0.327104
72.2950 0.137505
72.6465 0.447653
72.9980 0.292474
73.3495 0.278312
73.7010 0.481297
74.0525 0.243232
74.4040 0.330054
74.7555 0.417446
75.1070 0.267937
75.4585 0.275017
75.8100 0.243782
76.1615 0.222116
76.5130 0.198717
76.8645 0.276031
77.2160 0.359362
77.5674 0.248044
77.9189 0.141239
78.2704 0.241918
78.6219 0.116571
78.9734 0.336221
79.3249 0.284860
79.6764 0.253027
80.0279 0.217222
80.3794 0.142659
80.7309 0.313862
81.0824 0.223121
81.4339 ########
81.7854 0.148760
82.1369 0.305899
82.4884 ########
82.8399 0.142339
83.1914 0.227982
83.5428 0.511636
83.8943 0.123896
84.2458 ########
84.5973 0.177869
84.9488 0.175709
85.3003 0.286116
85.6518 0.138354
86.0033 ########
86.3548 0.248083
86.7063 0.120270
87.0578 0.143793
87.4093 0.229930
87.7608 0.127468
88.1123 0.149990
88.4638 0.168063
88.8153 0.213390
89.1668 0.148920
89.5182 0.207956
89.8698 0.128223
90.2212 0.255875
90.5727 0.288373
90.9242 0.175294
91.2757 0.181219
91.6272 ########
91.9787 0.108249
92.3302 0.133047
92.6817 0.159160
93.0332 0.112742
93.3847 0.161748
93.7362 ########
94.0877 0.250264
94.4392 0.240122
94.7907 0.106216
95.1422 ########
95.4937 0.115684
95.8452 0.126557
96.1966 0.235480
96.5481 0.123318
96.8996 ########
97.2511 ########
97.6026 ########
97.9541 ########
98.3056 0.175085
98.6571 ########
99.0086 ########
99.3601 0.127463
99.7116 ########
100.063 ########
100.415 0.161447
100.766 ########
101.118 ########
101.469 ########
101.821 ########
102.172 0.234279
102.524 ########
102.875 ########
103.227 ########
103.578 ########
103.930 0.124888
104.281 ########
104.633 ########
104.984 ########
105.335 0.307254
105.687 0.115866
106.038 ########
106.390 0.103410
106.741 0.126450
107.093 0.166172
107.444 0.160831
107.796 ########
108.147 ########
108.499 ########
108.850 ########
109.202 ########
109.553 ########
109.905 ########
110.256 ########
110.608 0.171050
110.959 ########
111.311 ########
111.662 ########
112.014 ########
112.365 ########
112.717 ########
113.068 ########
113.420 ########
113.771 ########
114.123 ########
114.474 ########
114.826 ########
115.177 ########
115.529 ########
115.880 ########
116.232 0.110663
116.583 ########
116.935 ########
117.286 ########
117.638 0.101993
117.989 ########
118.341 0.133313
118.692 ########
119.044 0.107139
119.395 ########
119.747 ########
120.098 0.135165
120.450 ########
120.801 ########
121.153 0.110772
121.504 ########
121.856 ########
122.207 ########
122.559 0.106488
122.910 ########
123.262 ########
123.613 ########
123.965 ########
124.316 ########
124.668 ########
125.019 ########
125.371 ########
125.722 ########
126.074 ########
126.425 ########
126.777 ########
127.128 ########
127.480 ########
127.831 ########
128.183 ########
128.534 ########
128.886 ########
129.237 ########
129.589 ########
129.940 ########
130.292 ########
130.643 ########
